repetition,strategy_index,strategy,accuracy,queries_used,iterations,accuracy_per_question
89.0,0.0,random,0.46,11.0,6.0,0.04181818181818182
89.0,1.0,S_E,0.6,10.0,5.0,0.06
89.0,2.0,S_NE,0.52,10.0,5.0,0.052000000000000005
89.0,3.0,S_W,0.4,11.0,6.0,0.03636363636363637
89.0,4.0,S_NW,0.54,10.0,5.0,0.054000000000000006
89.0,5.0,S_B,0.6,10.0,5.0,0.06
89.0,6.0,S_NB,0.6,12.0,7.0,0.049999999999999996
89.0,7.0,S_EIG,0.58,13.0,8.0,0.04461538461538461
89.0,8.0,S_NEIG,0.42,12.0,7.0,0.034999999999999996
89.0,9.0,S_DU,0.6,11.0,6.0,0.05454545454545454
89.0,10.0,S_NDU,0.54,9.0,4.0,0.060000000000000005
89.0,11.0,S_DC,0.38,10.0,5.0,0.038
89.0,12.0,S_NDC,0.56,9.0,4.0,0.06222222222222223
90.0,0.0,random,0.52,8.0,3.0,0.065
90.0,1.0,S_E,0.6,10.0,5.0,0.06
90.0,2.0,S_NE,0.56,11.0,6.0,0.05090909090909091
90.0,3.0,S_W,0.58,12.0,7.0,0.04833333333333333
90.0,4.0,S_NW,0.58,11.0,6.0,0.05272727272727273
90.0,5.0,S_B,0.7,14.0,9.0,0.049999999999999996
90.0,6.0,S_NB,0.62,12.0,7.0,0.051666666666666666
90.0,7.0,S_EIG,0.54,11.0,6.0,0.049090909090909095
90.0,8.0,S_NEIG,0.56,9.0,4.0,0.06222222222222223
90.0,9.0,S_DU,0.54,11.0,6.0,0.049090909090909095
90.0,10.0,S_NDU,0.6,11.0,6.0,0.05454545454545454
90.0,11.0,S_DC,0.54,11.0,6.0,0.049090909090909095
90.0,12.0,S_NDC,0.6,10.0,5.0,0.06
91.0,0.0,random,0.54,11.0,6.0,0.049090909090909095
91.0,1.0,S_E,0.74,9.0,4.0,0.08222222222222222
91.0,2.0,S_NE,0.56,8.0,3.0,0.07
91.0,3.0,S_W,0.82,12.0,7.0,0.06833333333333333
91.0,4.0,S_NW,0.28,8.0,3.0,0.035
91.0,5.0,S_B,0.54,10.0,5.0,0.054000000000000006
91.0,6.0,S_NB,0.82,9.0,4.0,0.0911111111111111
91.0,7.0,S_EIG,0.44,9.0,4.0,0.04888888888888889
91.0,8.0,S_NEIG,0.38,8.0,3.0,0.0475
91.0,9.0,S_DU,0.64,8.0,3.0,0.08
91.0,10.0,S_NDU,0.6,10.0,5.0,0.06
91.0,11.0,S_DC,0.44,8.0,3.0,0.055
91.0,12.0,S_NDC,0.64,10.0,5.0,0.064
92.0,0.0,random,0.52,9.0,4.0,0.05777777777777778
92.0,1.0,S_E,0.5,9.0,4.0,0.05555555555555555
92.0,2.0,S_NE,0.5,12.0,7.0,0.041666666666666664
92.0,3.0,S_W,0.5,10.0,5.0,0.05
92.0,4.0,S_NW,0.36,8.0,3.0,0.045
92.0,5.0,S_B,0.54,8.0,3.0,0.0675
92.0,6.0,S_NB,0.46,10.0,5.0,0.046
92.0,7.0,S_EIG,0.48,10.0,5.0,0.048
92.0,8.0,S_NEIG,0.6,12.0,7.0,0.049999999999999996
92.0,9.0,S_DU,0.48,8.0,3.0,0.06
92.0,10.0,S_NDU,0.5,9.0,4.0,0.05555555555555555
92.0,11.0,S_DC,0.54,10.0,5.0,0.054000000000000006
92.0,12.0,S_NDC,0.62,13.0,8.0,0.047692307692307694
93.0,0.0,random,0.5,12.0,7.0,0.041666666666666664
93.0,1.0,S_E,0.54,15.0,10.0,0.036000000000000004
93.0,2.0,S_NE,0.3,10.0,5.0,0.03
93.0,3.0,S_W,0.5,10.0,5.0,0.05
93.0,4.0,S_NW,0.48,11.0,6.0,0.04363636363636363
93.0,5.0,S_B,0.54,11.0,6.0,0.049090909090909095
93.0,6.0,S_NB,0.4,10.0,5.0,0.04
93.0,7.0,S_EIG,0.5,8.0,3.0,0.0625
93.0,8.0,S_NEIG,0.54,8.0,3.0,0.0675
93.0,9.0,S_DU,0.4,8.0,3.0,0.05
93.0,10.0,S_NDU,0.4,10.0,5.0,0.04
93.0,11.0,S_DC,0.52,12.0,7.0,0.043333333333333335
93.0,12.0,S_NDC,0.58,11.0,6.0,0.05272727272727273
94.0,0.0,random,0.58,9.0,4.0,0.06444444444444444
94.0,1.0,S_E,0.5,13.0,8.0,0.038461538461538464
94.0,2.0,S_NE,0.54,12.0,7.0,0.045000000000000005
94.0,3.0,S_W,0.58,8.0,3.0,0.0725
94.0,4.0,S_NW,0.54,9.0,4.0,0.060000000000000005
94.0,5.0,S_B,0.56,11.0,6.0,0.05090909090909091
94.0,6.0,S_NB,0.5,8.0,3.0,0.0625
94.0,7.0,S_EIG,0.58,11.0,6.0,0.05272727272727273
94.0,8.0,S_NEIG,0.54,12.0,7.0,0.045000000000000005
94.0,9.0,S_DU,0.5,8.0,3.0,0.0625
94.0,10.0,S_NDU,0.62,9.0,4.0,0.06888888888888889
94.0,11.0,S_DC,0.56,8.0,3.0,0.07
94.0,12.0,S_NDC,0.58,9.0,4.0,0.06444444444444444
95.0,0.0,random,0.62,15.0,10.0,0.04133333333333333
95.0,1.0,S_E,0.36,9.0,4.0,0.04
95.0,2.0,S_NE,0.48,14.0,9.0,0.03428571428571429
95.0,3.0,S_W,0.54,10.0,5.0,0.054000000000000006
95.0,4.0,S_NW,0.54,13.0,8.0,0.04153846153846154
95.0,5.0,S_B,0.52,12.0,7.0,0.043333333333333335
95.0,6.0,S_NB,0.58,13.0,8.0,0.04461538461538461
95.0,7.0,S_EIG,0.52,11.0,6.0,0.04727272727272727
95.0,8.0,S_NEIG,0.64,12.0,7.0,0.05333333333333334
95.0,9.0,S_DU,0.58,12.0,7.0,0.04833333333333333
95.0,10.0,S_NDU,0.5,12.0,7.0,0.041666666666666664
95.0,11.0,S_DC,0.56,14.0,9.0,0.04
95.0,12.0,S_NDC,0.52,8.0,3.0,0.065
96.0,0.0,random,0.62,10.0,5.0,0.062
96.0,1.0,S_E,0.58,11.0,6.0,0.05272727272727273
96.0,2.0,S_NE,0.4,8.0,3.0,0.05
96.0,3.0,S_W,0.54,11.0,6.0,0.049090909090909095
96.0,4.0,S_NW,0.52,11.0,6.0,0.04727272727272727
96.0,5.0,S_B,0.6,8.0,3.0,0.075
96.0,6.0,S_NB,0.6,11.0,6.0,0.05454545454545454
96.0,7.0,S_EIG,0.6,10.0,5.0,0.06
96.0,8.0,S_NEIG,0.48,8.0,3.0,0.06
96.0,9.0,S_DU,0.56,8.0,3.0,0.07
96.0,10.0,S_NDU,0.38,8.0,3.0,0.0475
96.0,11.0,S_DC,0.6,11.0,6.0,0.05454545454545454
96.0,12.0,S_NDC,0.56,9.0,4.0,0.06222222222222223
97.0,0.0,random,0.68,13.0,8.0,0.05230769230769231
97.0,1.0,S_E,0.64,12.0,7.0,0.05333333333333334
97.0,2.0,S_NE,0.5,8.0,3.0,0.0625
